,tokenId,marketplace,block,token,price
0,4719,blur,17430824,,45.21
1,2508,blur,17430814,,45.3
2,9066,blur,17430807,,45.3
3,7292,blur,17430806,,45.3
4,2578,blur,17430805,,45.3
5,3599,blur,17430805,,45.3
6,322,blur,17430793,,45.3
7,3883,blur,17430788,,45.3
8,6756,seaport,17430422,ETH,3.383
9,3611,seaport,17430208,ETH,2.189
10,8243,blur,17430098,,45.22
11,7784,blur,17430098,,45.22
12,9581,blur,17430095,,45.22
13,9066,blur,17430095,,45.22
14,8803,blur,17430008,,45.81
15,8710,blur,17430007,,45.81
16,7292,blur,17430007,,45.82
17,3599,blur,17430006,,45.85
18,669,blur,17430006,,45.85
19,6930,blur,17430005,,45.85
20,2578,blur,17430003,,45.85
21,5282,blur,17430001,,45.85
22,2844,blur,17429487,,45.99
23,2508,blur,17429487,,45.99
24,2155,blur,17429481,,46.15
25,1729,blur,17429481,,46.15
26,1681,blur,17429470,,46.15
27,9816,blur,17429469,,46.17
28,8803,blur,17429464,,46.17
29,8710,blur,17429464,,46.17
30,8243,blur,17429463,,46.17
31,7784,blur,17429463,,46.17
32,7116,blur,17429463,,46.17
33,5101,blur,17429462,,46.17
34,7083,blur,17429462,,46.17
35,6930,blur,17429462,,46.17
36,669,blur,17429462,,46.17
37,3599,blur,17429462,,46.17
38,3402,blur,17429461,,46.17
39,4719,blur,17429455,,46.17
40,7167,blur,17429455,,46.18
41,4284,blur,17429314,,46.17
42,428,blur,17429300,,46.17
43,1032,blur,17429285,,46.26
44,3391,blur,17429281,,46.26
45,2578,blur,17429277,,46.33
46,6076,blur,17429271,,46.34
47,7292,blur,17429268,,46.34
48,6403,blur,17429267,,46.34
49,753,blur,17429263,,46.35
50,7961,blur,17429192,,46.33
51,6170,blur,17429189,,46.35
52,1681,blur,17429082,,46.37
53,7452,blur,17429081,,46.37
54,7167,blur,17429061,,46.38
55,4719,blur,17429038,,46.4
56,6408,blur,17428975,,46.4
57,5282,blur,17428974,,46.4
58,428,blur,17428970,,46.4
59,5101,blur,17428970,,46.4
60,759,blur,17428968,,46.43
61,9816,blur,17428966,,46.43
62,9163,blur,17428965,,46.43
63,5282,blur,17428294,,46.42
64,9163,blur,17428292,,46.42
65,7292,blur,17428279,,46.44
66,7167,blur,17428278,,46.44
67,2578,blur,17428237,,46.44
68,6403,blur,17428003,,46.51
69,3883,blur,17427997,,46.55
70,7380,blur,17427993,,46.64
71,560,blur,17427991,,46.65
72,4205,blur,17427989,,46.65
73,5775,blur,17427988,,46.65
74,9314,blur,17427985,,46.65
75,6891,blur,17427985,,46.66
76,9163,blur,17427984,,46.66
77,6117,blur,17427983,,46.66
78,759,blur,17427981,,46.66
79,7116,blur,17427976,,46.67
80,8152,blur,17427848,,46.65
81,7167,blur,17427798,,46.66
82,8710,blur,17427796,,46.67
83,6408,blur,17427795,,46.67
84,4719,blur,17427795,,46.67
85,5497,blur,17427748,,46.7
86,3084,blur,17427747,,46.7
87,669,blur,17427742,,46.71
88,8936,blur,17427614,,46.7
89,7083,blur,17427531,,46.73
90,1392,blur,17427522,,46.72
91,2578,blur,17427521,,46.75
92,3599,blur,17427521,,46.75
93,428,blur,17427520,,46.75
94,5101,blur,17427520,,46.75
95,5282,blur,17427520,,46.75
96,6117,blur,17427519,,46.75
97,6891,blur,17427519,,46.75
98,753,blur,17427519,,46.75
99,759,blur,17427518,,46.75
100,8152,blur,17427518,,46.75
101,8243,blur,17427518,,46.76
102,8803,blur,17427517,,46.76
103,9163,blur,17427517,,46.76
104,9816,blur,17427517,,46.76
105,4295,blur,17427447,,46.79
106,5673,blur,17427445,,46.76
107,3013,blur,17427444,,46.76
108,5871,blur,17427441,,46.76
109,3391,blur,17427438,,46.78
110,3084,blur,17427434,,46.79
111,2844,blur,17427391,,46.8
112,3145,blur,17427363,,46.79
113,8984,blur,17427351,,46.8
114,9886,blur,17427233,,46.8
115,322,blur,17427233,,46.8
116,669,blur,17427232,,46.8
117,3883,blur,17427232,,46.8
118,6403,blur,17427067,,46.8
119,6170,blur,17427065,,46.8
120,2508,blur,17427065,,46.8
121,5775,blur,17427063,,46.8
122,4205,blur,17427061,,46.8
123,1392,blur,17427061,,46.8
124,1032,blur,17427061,,46.8
125,7292,blur,17427055,,46.8
126,3391,blur,17427055,,46.8
127,3145,blur,17427054,,46.8
128,5871,blur,17427054,,46.566
129,2970,blur,17427054,,46.566
130,8152,blur,17426919,,46.81
131,5497,blur,17426828,,46.8
132,7784,blur,17426824,,46.8
133,5673,blur,17426821,,46.81
134,3013,blur,17426819,,46.81
135,322,blur,17426816,,46.82
136,4295,blur,17426807,,46.82
137,7167,blur,17426807,,46.82
138,560,blur,17426806,,46.82
139,7083,blur,17426725,,46.82
140,9314,blur,17426564,,46.82
141,7380,blur,17426560,,46.82
142,7116,blur,17426555,,46.82
143,3084,blur,17426549,,46.82
144,8152,blur,17426549,,46.82
145,2844,blur,17426549,,46.82
146,6170,blur,17426527,,46.83
147,5497,blur,17426495,,46.82
148,6403,blur,17426490,,46.82
149,322,blur,17426487,,46.83
150,1392,blur,17426354,,46.81
151,1032,blur,17426347,,46.81
152,5775,blur,17426344,,46.81
153,8984,blur,17426342,,46.81
154,7083,blur,17426341,,46.81
155,3402,blur,17426341,,46.81
156,4719,blur,17426341,,46.81
157,9886,blur,17426341,,46.81
158,6408,blur,17426338,,46.81
159,7784,blur,17426309,,46.57595
160,9057,seaport,17426074,ETH,48.75
161,9816,blur,17426066,,46.82
162,7380,blur,17426064,,46.81
163,6930,blur,17426064,,46.81
164,2508,blur,17426064,,46.81
165,2155,blur,17426064,,46.82
166,8243,blur,17426049,,46.85
167,753,blur,17426047,,46.85
168,669,blur,17426045,,46.85
169,9163,blur,17426044,,46.85
170,8710,blur,17426031,,46.85
171,4205,blur,17426030,,46.85
172,5497,blur,17426030,,46.85
173,3084,blur,17425992,,46.86
174,7116,blur,17425893,,46.84
175,5673,blur,17425886,,46.84
176,6403,blur,17425856,,46.83
177,1729,blur,17425855,,46.83
178,2844,blur,17425852,,46.83
179,5101,blur,17425848,,46.83
180,9314,blur,17425843,,46.85
181,5775,blur,17425839,,46.85
182,8152,blur,17425838,,46.85
183,9886,blur,17425837,,46.85
184,5871,blur,17425740,,46.85
185,2970,blur,17425738,,46.85
186,7167,blur,17425736,,46.86
187,3883,blur,17425735,,46.86
188,4295,blur,17425734,,46.86
189,2508,blur,17425734,,46.86
190,7380,blur,17425732,,46.86
191,560,blur,17425731,,46.86
192,6408,blur,17425731,,46.86
193,9163,blur,17425728,,46.86
194,6930,blur,17425728,,46.86
195,669,blur,17425728,,46.86
196,4719,blur,17425727,,46.86
197,753,blur,17425727,,46.86
198,9816,blur,17425727,,46.86
199,2155,blur,17425536,,46.86
200,5101,blur,17425465,,46.86
201,2155,seaport,17425161,,1e-18
