,tokenId,marketplace,block,token,price
0,8507,seaport,17452752,WETH,45.5001
1,6360,seaport,17452629,ETH,47.23265
2,6891,blur,17452371,,45.54
3,5609,blur,17452346,ETH,50.75495
4,2844,blur,17452125,,45.65
5,8152,blur,17452124,,45.65
6,6891,blur,17452062,,45.65
7,2970,blur,17452060,,45.68
8,2804,blur,17452059,,45.68
9,7784,blur,17452059,,45.68
10,7062,blur,17451933,,45.7
11,2255,seaport,17451919,ETH,3.98
12,8152,blur,17451591,,45.54
13,5496,blur,17451258,,45.30235
14,5673,blur,17451218,,45.30235
15,8152,blur,17451218,,45.30235
16,7784,blur,17451016,,45.51
17,8284,seaport,17451013,ETH,1.99
18,8152,blur,17450915,ETH,48.556
19,5673,blur,17450912,ETH,50.2475
20,753,blur,17450834,,45.54
21,4246,blur,17450831,,45.56
22,2844,blur,17450828,,45.56
23,268,blur,17450819,,45.56
24,2970,blur,17450813,,45.56
25,2804,blur,17450812,,45.56
26,7452,blur,17450808,,45.56
27,8882,blur,17450808,,45.56
28,6891,blur,17450644,,45.56
29,7784,blur,17450644,,45.56
30,4117,blur,17450243,,45.55
31,6408,blur,17450222,,45.55
32,552,blur,17450222,,45.55
33,5345,blur,17450221,,45.55
34,2844,blur,17450220,,45.55
35,4246,blur,17450209,,45.55
36,3414,blur,17450168,,45.3322
37,1457,blur,17450158,,45.73
38,3145,blur,17450157,,45.73
39,759,blur,17450153,,45.73
40,753,blur,17450153,,45.74
41,2970,blur,17450153,,45.75
42,7637,blur,17450044,,45.77
43,2804,blur,17450044,,45.77
44,6093,blur,17450021,,45.54115
45,7665,blur,17449930,,45.74
46,6117,blur,17449877,,45.73
47,969,blur,17449870,,45.50135
48,7083,blur,17449867,,45.82
49,9066,blur,17449864,,45.82
50,3402,blur,17449864,,45.82
51,6930,blur,17449862,,45.92
52,9548,blur,17449859,,45.96
53,7480,blur,17449859,,45.96
54,2423,blur,17449859,,45.96
55,269,blur,17449859,,45.96
56,7387,blur,17449859,,45.96
57,170,blur,17449859,,45.96
58,1604,blur,17449859,,45.96
59,4799,blur,17449859,,45.96
60,6790,blur,17449859,,45.96
61,8201,blur,17449859,,45.96
62,9845,blur,17449859,,45.96
63,8961,blur,17449859,,45.96
64,7116,blur,17449859,,45.96
65,6837,blur,17449859,,45.96
66,6371,blur,17449858,,45.96
67,7961,blur,17449858,,45.96
68,7452,blur,17449858,,45.96
69,669,blur,17449858,,45.96
70,6076,blur,17449858,,45.96
71,5497,blur,17449858,,45.96
72,4284,blur,17449858,,45.96
73,1900,blur,17449858,,45.97
74,4497,blur,17449858,,45.97
75,6085,blur,17449858,,45.97
76,4295,blur,17449858,,45.97
77,2844,blur,17449858,,45.98
78,552,blur,17449858,,45.98
79,5345,blur,17449858,,45.98
80,6408,blur,17449858,,45.98
81,7167,blur,17449858,,45.98
82,9548,blur,17449536,,45.92
83,269,blur,17449513,ETH,45.77
84,7480,blur,17449502,,45.92
85,2423,blur,17449501,,45.92
86,7387,blur,17449358,,45.91
87,170,blur,17449258,,45.87
88,8882,blur,17448806,,45.81
89,6117,blur,17448804,,45.82
90,2804,blur,17448804,,45.82
91,170,blur,17448801,,45.82
92,2423,blur,17448801,,45.82
93,5942,blur,17448690,,45.82
94,1622,blur,17448665,ETH,45.977955
95,7480,blur,17448661,,45.5909
96,1604,blur,17448652,,45.5909
97,9088,x2y2,17448528,ETH,46.0
