,tokenId,marketplace,block,token,price,rarity
0,8507,seaport,17452752,WETH,45.5001,1894522593.6
1,6360,seaport,17452629,ETH,47.23265,1724974815.5950463
2,6891,blur,17452371,,45.54,33034156.13448
3,5609,blur,17452346,ETH,50.75495,56649961.29237119
4,2844,blur,17452125,,45.65,4763302967.404799
5,8152,blur,17452124,,45.65,1223251769.1727872
7,2970,blur,17452060,,45.68,18828577188.629997
8,2804,blur,17452059,,45.68,144411290.21826002
9,7784,blur,17452059,,45.68,1930639005.1799996
10,7062,blur,17451933,,45.7,4762381189.404
11,2255,seaport,17451919,ETH,3.98,15013507965.561596
13,5496,blur,17451258,,45.30235,6899469280.7039995
14,5673,blur,17451218,,45.30235,428619099.95519984
17,8284,seaport,17451013,ETH,1.99,5193706.967452079
20,753,blur,17450834,,45.54,17467908.269644804
21,4246,blur,17450831,,45.56,1613973137.574473
23,268,blur,17450819,,45.56,1194527039.5553415
26,7452,blur,17450808,,45.56,51585660.944140606
27,8882,blur,17450808,,45.56,82181061.82218239
30,4117,blur,17450243,,45.55,166632567.18648145
31,6408,blur,17450222,,45.55,116871345.21882597
32,552,blur,17450222,,45.55,614265069.1319999
33,5345,blur,17450221,,45.55,1800147577.5359995
36,3414,blur,17450168,,45.3322,15547246.706925161
37,1457,blur,17450158,,45.73,74908562.96956478
38,3145,blur,17450157,,45.73,470304982.4309759
39,759,blur,17450153,,45.73,13578752535.552004
42,7637,blur,17450044,,45.77,45353012.7891456
44,6093,blur,17450021,,45.54115,14248710.89145504
45,7665,blur,17449930,,45.74,1404741.5963611426
46,6117,blur,17449877,,45.73,1143678787.7277315
47,969,blur,17449870,,45.50135,52447043.26840524
48,7083,blur,17449867,,45.82,119192990.91453598
49,9066,blur,17449864,,45.82,14829805.152810687
50,3402,blur,17449864,,45.82,53393797.955780886
51,6930,blur,17449862,,45.92,115761944.63189235
52,9548,blur,17449859,,45.96,2119676528.1916227
53,7480,blur,17449859,,45.96,221311905.6456
54,2423,blur,17449859,,45.96,78611324.08409278
55,269,blur,17449859,,45.96,27119620403.336998
56,7387,blur,17449859,,45.96,37895337.93018758
57,170,blur,17449859,,45.96,56017821.459916785
58,1604,blur,17449859,,45.96,308163994.35621184
59,4799,blur,17449859,,45.96,561124656.3255092
60,6790,blur,17449859,,45.96,5852250413.100001
61,8201,blur,17449859,,45.96,7162598669.060998
62,9845,blur,17449859,,45.96,1721721545.523
63,8961,blur,17449859,,45.96,116631461.08556797
64,7116,blur,17449859,,45.96,5847421759.087998
65,6837,blur,17449859,,45.96,38599525656.1152
66,6371,blur,17449858,,45.96,250262866.91727352
67,7961,blur,17449858,,45.96,826607938.9005313
69,669,blur,17449858,,45.96,483669803.17270565
70,6076,blur,17449858,,45.96,484856380.8831599
71,5497,blur,17449858,,45.96,146624264.47475508
72,4284,blur,17449858,,45.96,765093338.9409744
73,1900,blur,17449858,,45.97,3178725.7858950016
74,4497,blur,17449858,,45.97,1235762788.2599998
75,6085,blur,17449858,,45.97,337645267.29132897
76,4295,blur,17449858,,45.97,175316844.269448
81,7167,blur,17449858,,45.98,131776129.8852768
93,5942,blur,17448690,,45.82,120990944.62087382
94,1622,blur,17448665,ETH,45.977955,16459805.53576748
97,9088,x2y2,17448528,ETH,46.0,70689247.23742802
112,9163,blur,17447537,,45.99,642814246.5881875
113,9056,blur,17447537,,45.99,12149112.063172596
118,8936,blur,17447413,,46.02,19327735544.832
119,6716,blur,17447412,,46.02,292470538.3019769
120,6470,blur,17447409,,46.02,217192175.456256
127,3883,blur,17447403,,46.02,142053773.30830592
128,322,blur,17447402,,46.02,187066088.13484794
130,2578,blur,17447401,,46.02,1048575891.9860228
157,7292,blur,17446007,,46.01,331037203.87555206
164,2508,blur,17445777,,46.06,57712830.94241279
172,8243,blur,17445772,ETH,45.97895,3998975161.0920005
177,8710,blur,17444289,,45.75,68360095.78442302
179,8803,blur,17444286,,45.75,10628085319.488
183,6170,blur,17444177,,45.94,1484441671.95
189,4164,blur,17443971,,46.16,816599871.2393122
207,3599,blur,17443967,,46.2,2729722350.7007995
209,3084,blur,17443966,,46.2,137059672.65812162
261,9886,blur,17441463,,46.22,482812309.7507
290,2836,seaport,17439627,ETH,47.481,2712854344.390042
292,4402,x2y2,17438666,ETH,45.75,301274428.13178617
300,7762,seaport,17436866,ETH,1.4925,14488158563.009995
301,7833,seaport,17436816,WETH,44.314725,6937315.515670556
330,5282,blur,17432574,,45.36,3469392672.299999
333,8984,blur,17432163,,45.35,10291687855.679996
338,4719,blur,17430824,,45.21,2058067302.6495998
346,6756,seaport,17430422,ETH,3.383,107842712318.0
347,3611,seaport,17430208,ETH,2.189,61456351.193501204
350,9581,blur,17430095,,45.22,2206394204.193001
362,2155,blur,17429481,,46.15,37168809.56438496
363,1729,blur,17429481,,46.15,363954165.8402588
364,1681,blur,17429470,,46.15,290793778.06602234
365,9816,blur,17429469,,46.17,718721970.9120001
371,5101,blur,17429462,,46.17,3939974240.0446773
380,428,blur,17429300,,46.17,1321103174.3024857
381,1032,blur,17429285,,46.26,5640335999.888398
382,3391,blur,17429281,,46.26,1184355149.2393417
386,6403,blur,17429267,,46.34,859327574.9733552
408,7380,blur,17427993,,46.64,204525380.30558404
409,560,blur,17427991,,46.65,3833700163.5419993
410,4205,blur,17427989,,46.65,64705840457.59999
411,5775,blur,17427988,,46.65,964141870.0798438
412,9314,blur,17427985,,46.65,856848152.1599998
428,1392,blur,17427522,,46.72,73587385180.80002
445,3013,blur,17427444,,46.76,1518658938.2714806
446,5871,blur,17427441,,46.76,646924486.21632
498,9057,seaport,17426074,ETH,48.75,36429324.52544001
588,3512,blur,17424006,ETH,49.2525,14588236792.640001
593,4478,blur,17423838,,46.94,1603510984.7909997
594,5409,blur,17423838,,46.94,38196974.786539786
632,1368,seaport,17422296,ETH,45.486,314657800.83939236
649,2941,blur,17421647,,46.74,11280341.973700797
653,1008,x2y2,17421474,ETH,61.0,63282205.21214591
741,4665,x2y2,17418391,ETH,56.0,16507361.98712328
770,5033,blur,17417942,ETH,46.51625,156829442.4488563
792,3601,blur,17416249,,46.43665,49209528.97677601
799,4871,seaport,17415238,ETH,1.24375,89232401.97231358
820,1070,blur,17413929,,46.73,12232830.459101474
831,6339,blur,17412506,ETH,55.27225,871043.3827533984
834,2260,blur,17410897,,46.42,215474372.94189513
836,4236,blur,17409908,ETH,51.675,27651121928.601597
875,8599,blur,17406664,,45.969,1721764828.9603996
876,4008,seaport,17406161,ETH,46.45655,16553658.846815998
877,4950,seaport,17405556,ETH,47.362,1657509675.8219998
901,2310,seaport,17402925,WETH,0.914926,19461736.106903996
960,1547,blur,17398345,ETH,47.01375,289346179.76782846
982,7999,x2y2,17397158,ETH,54.5,13023508852.224003
987,2505,blur,17396739,,45.92,4919871379.307295
1004,8562,seaport,17395133,ETH,49.44155,13309810.905076174
1020,6104,seaport,17390337,ETH,45.77,47861511238.815994
1029,8042,blur,17389740,,45.14315,85873367.52350965
1030,4663,blur,17389563,ETH,47.76,8107551367.570636
1042,6185,x2y2,17388356,ETH,58.5,215346798.54720002
1047,1466,x2y2,17388038,ETH,54.0,19678223.001024004
1051,6515,blur,17386946,,45.2,63100945331.189995
1053,3102,blur,17386919,,45.28,2478289100.463001
1057,584,blur,17386883,,45.29,32296340044.8
1062,8227,blur,17386604,,45.29,1742058153.9190764
1066,4066,seaport,17386474,WETH,116.0,18890824.8050368
1070,1786,blur,17386263,ETH,47.35205,62629062.216509864
1078,9322,seaport,17385648,ETH,45.6,4026502596.5474596
1079,3545,blur,17385573,,45.26,52734215.30262858
1080,6604,blur,17385571,,45.27,1773286994.5190399
1081,3198,blur,17385570,,45.28,2098755116.5653815
1083,4198,blur,17385568,,45.29,279914899.08011764
1086,1399,blur,17385567,,45.31,636033432.9027994
1096,5430,blur,17385559,,45.33,41736175129.715195
1124,6492,seaport,17382451,WETH,49.0,24495095.29861984
1182,2382,blur,17378869,ETH,45.221755,817510500.9528911
1190,1239,seaport,17376928,ETH,46.98585,1609790112.828621
1197,9001,blur,17376199,,45.27,11576123.230391998
1211,3782,seaport,17374463,ETH,45.03,7061624.938368
1219,5063,blur,17374242,,45.27,9154845.065741975
1247,1805,blur,17369068,ETH,48.755,170447485.94158882
1262,9128,blur,17368805,,44.96405,25556368.788637772
1281,5493,seaport,17365270,ETH,44.175,77418761.828496
1282,177,seaport,17365270,ETH,44.156,83868482.2492088
1306,8230,seaport,17361994,,1e-18,6261674170.751999
1315,5272,x2y2,17361062,ETH,45.0,26239687.723700996
1327,3481,blur,17360235,,45.09,1016463820.8231936
1365,1689,x2y2,17355038,ETH,52.0,6321301.995770436
1380,5257,seaport,17352408,ETH,46.32,22478040.50722334
1383,1659,blur,17352077,,45.27,71602312.733952
1393,7285,seaport,17351114,ETH,48.24755,50749906.21116415
1421,6013,blur,17348225,,45.5,46441816425.21601
1422,4541,seaport,17347910,ETH,44.65,15843621.183390003
1423,4999,seaport,17347887,ETH,50.39775,140140141.36615413
1439,6646,blur,17339949,,44.70535,251507296.035072
1440,6151,blur,17339668,ETH,57.71,282336799.8552255
1443,4827,blur,17338693,ETH,45.3375,351760432.56119645
1445,6425,blur,17336810,,45.00385,2688542095.902474
1449,2002,x2y2,17332226,ETH,59.0,19324223.8992576
1450,6153,x2y2,17331801,ETH,58.0,72239369.90699518
1465,8584,seaport,17330082,ETH,47.76,3153925298.16
1466,4854,seaport,17330001,ETH,47.2625,332685462.65827703
1468,8819,seaport,17329164,ETH,45.3375,2835020145.996
1469,8557,seaport,17329164,ETH,46.2675,1120382072.3479998
1476,1080,blur,17327324,,44.62575,624712346.1812701
1494,7733,seaport,17326216,ETH,45.825,29865814929.984
1495,3060,x2y2,17325827,ETH,46.249999,9898527.706829656
1513,563,x2y2,17323064,ETH,50.0,107077024560.0
1518,2857,seaport,17322685,ETH,93.1,6021462965.056001
1521,8412,blur,17322559,ETH,45.16305,1747955817.418637
1534,1948,blur,17320864,,44.4367,359785429.8468095
1566,7031,seaport,17309512,ETH,48.10825,137368311814.65599
1567,807,blur,17308544,,45.0735,8986814457.465601
1568,2257,blur,17308439,,45.2725,71838781.193088
1577,243,seaport,17306244,ETH,52.6156,36003791.440512
1583,8969,seaport,17301081,ETH,46.09835,378843690.49664944
1585,994,x2y2,17296514,ETH,52.0,241579066.75302404
1586,6921,seaport,17296238,ETH,50.1393,881352972.6493183
1588,7851,seaport,17295760,,1e-18,19768070469.369602
1590,2333,seaport,17293640,ETH,71.78,74597817.62028961
1592,8038,seaport,17291868,ETH,62.09775,12286932842.905602
1594,6988,seaport,17288399,ETH,0.74625,211731442.0661927
1596,3140,blur,17288218,ETH,48.00875,266796469.69322753
