,tokenId,marketplace,block,token,price,date
0,8507,seaport,17452752,WETH,45.5001,2023-06-10 22:32:23
1,6360,seaport,17452629,ETH,47.23265,2023-06-10 22:07:35
2,6891,blur,17452371,,45.54,2023-06-10 21:15:47
3,5609,blur,17452346,ETH,50.75495,2023-06-10 21:10:47
4,2844,blur,17452125,,45.65,2023-06-10 20:25:59
5,8152,blur,17452124,,45.65,2023-06-10 20:25:47
6,6891,blur,17452062,,45.65,2023-06-10 20:13:11
7,2970,blur,17452060,,45.68,2023-06-10 20:12:47
8,2804,blur,17452059,,45.68,2023-06-10 20:12:35
10,7062,blur,17451933,,45.7,2023-06-10 19:46:47
11,2255,seaport,17451919,ETH,3.98,2023-06-10 19:43:59
12,8152,blur,17451591,,45.54,2023-06-10 18:37:23
13,5496,blur,17451258,,45.30235,2023-06-10 17:30:11
14,5673,blur,17451218,,45.30235,2023-06-10 17:22:11
16,7784,blur,17451016,,45.51,2023-06-10 16:40:47
17,8284,seaport,17451013,ETH,1.99,2023-06-10 16:40:11
18,8152,blur,17450915,ETH,48.556,2023-06-10 16:20:11
19,5673,blur,17450912,ETH,50.2475,2023-06-10 16:19:35
20,753,blur,17450834,,45.54,2023-06-10 16:03:47
21,4246,blur,17450831,,45.56,2023-06-10 16:03:11
22,2844,blur,17450828,,45.56,2023-06-10 16:02:35
23,268,blur,17450819,,45.56,2023-06-10 16:00:47
24,2970,blur,17450813,,45.56,2023-06-10 15:59:35
25,2804,blur,17450812,,45.56,2023-06-10 15:59:23
26,7452,blur,17450808,,45.56,2023-06-10 15:58:35
28,6891,blur,17450644,,45.56,2023-06-10 15:25:11
30,4117,blur,17450243,,45.55,2023-06-10 14:03:47
31,6408,blur,17450222,,45.55,2023-06-10 13:59:35
33,5345,blur,17450221,,45.55,2023-06-10 13:59:23
34,2844,blur,17450220,,45.55,2023-06-10 13:59:11
35,4246,blur,17450209,,45.55,2023-06-10 13:56:59
36,3414,blur,17450168,,45.3322,2023-06-10 13:48:47
37,1457,blur,17450158,,45.73,2023-06-10 13:46:47
38,3145,blur,17450157,,45.73,2023-06-10 13:46:35
39,759,blur,17450153,,45.73,2023-06-10 13:45:47
42,7637,blur,17450044,,45.77,2023-06-10 13:23:23
44,6093,blur,17450021,,45.54115,2023-06-10 13:18:35
45,7665,blur,17449930,,45.74,2023-06-10 13:00:23
46,6117,blur,17449877,,45.73,2023-06-10 12:49:35
47,969,blur,17449870,,45.50135,2023-06-10 12:48:11
48,7083,blur,17449867,,45.82,2023-06-10 12:47:35
49,9066,blur,17449864,,45.82,2023-06-10 12:46:59
51,6930,blur,17449862,,45.92,2023-06-10 12:46:35
52,9548,blur,17449859,,45.96,2023-06-10 12:45:59
66,6371,blur,17449858,,45.96,2023-06-10 12:45:47
82,9548,blur,17449536,,45.92,2023-06-10 11:40:35
83,269,blur,17449513,ETH,45.77,2023-06-10 11:35:59
84,7480,blur,17449502,,45.92,2023-06-10 11:33:47
85,2423,blur,17449501,,45.92,2023-06-10 11:33:35
86,7387,blur,17449358,,45.91,2023-06-10 11:04:47
87,170,blur,17449258,,45.87,2023-06-10 10:44:35
88,8882,blur,17448806,,45.81,2023-06-10 09:12:47
89,6117,blur,17448804,,45.82,2023-06-10 09:12:11
91,170,blur,17448801,,45.82,2023-06-10 09:11:35
93,5942,blur,17448690,,45.82,2023-06-10 08:48:35
94,1622,blur,17448665,ETH,45.977955,2023-06-10 08:43:35
95,7480,blur,17448661,,45.5909,2023-06-10 08:42:47
96,1604,blur,17448652,,45.5909,2023-06-10 08:40:59
97,9088,x2y2,17448528,ETH,46.0,2023-06-10 08:15:35
98,7637,blur,17448521,,45.571,2023-06-10 08:14:11
99,4799,blur,17448475,,45.79,2023-06-10 08:04:59
100,6790,blur,17448414,,45.79,2023-06-10 07:52:35
101,8201,blur,17448314,,45.78,2023-06-10 07:32:35
