iter	RMSE
0	4.427997207
1	4.397826128
2	4.353279243
3	4.3097279
4	4.271587662
5	4.22116845
6	4.1830463
7	4.133008024
8	4.09573885
9	4.059862986
10	4.021858423
11	3.990154313
12	3.9625134
13	3.924020232
14	3.895982304
15	3.858052855
16	3.815380259
17	3.77279833
18	3.740508315
19	3.701817755
20	3.670878423
21	3.632492485
22	3.593230564
23	3.562135911
24	3.53296493
25	3.502794967
26	3.475729523
27	3.444171108
28	3.407318744
29	3.365571128
30	3.338812374
31	3.303310115
32	3.272722339
33	3.252861485
34	3.229457341
35	3.199462331
36	3.172901154
37	3.145929701
38	3.118125101
39	3.093126623
40	3.061319977
41	3.038435925
42	3.014724156
43	2.992229728
44	2.959372105
45	2.933712097
46	2.905597871
47	2.884569994
48	2.862090905
49	2.840828434
50	2.815637606
51	2.788690682
52	2.766895743
53	2.738270874
54	2.716022606
55	2.694054954
56	2.674789163
57	2.652253671
58	2.631175113
59	2.610428128
60	2.589211044
61	2.564689826
62	2.544318872
63	2.525458899
64	2.504101204
65	2.484333304
66	2.466466703
67	2.452147989
68	2.432201205
69	2.4080433
70	2.389088106
71	2.371514073
72	2.350926565
73	2.329246401
74	2.309087045
75	2.288269442
76	2.271477899
77	2.25495776
78	2.23495914
79	2.216678438
80	2.1920944
81	2.175067863
82	2.157222035
83	2.134769759
84	2.11868397
85	2.097715311
86	2.081400282
87	2.060080059
88	2.041525365
89	2.024043156
90	2.005410501
91	1.989218487
92	1.973000086
93	1.959858318
94	1.941068601
95	1.924365988
96	1.907711567
97	1.891893397
98	1.877653072
99	1.861153431
100	1.846494056
101	1.832302414
102	1.818252145
103	1.804402789
104	1.786007044
105	1.768272219
106	1.75556341
107	1.743135064
108	1.728856522
109	1.71302931
110	1.698989231
111	1.686107535
112	1.671319539
113	1.657691492
114	1.642635757
115	1.630066381
116	1.617854827
117	1.605369025
118	1.594649425
119	1.584070224
120	1.5737464
121	1.561707807
122	1.55205844
123	1.539654519
124	1.528386922
125	1.516913701
126	1.504811307
127	1.493561853
128	1.484192545
129	1.474290238
130	1.463865761
131	1.451591843
132	1.439463046
133	1.426949095
134	1.416821506
135	1.407640463
136	1.397038212
137	1.388144241
138	1.379028259
139	1.368353478
140	1.359294691
141	1.349655354
142	1.33942705
143	1.329817394
144	1.320364982
145	1.309864505
146	1.29821741
147	1.290830899
148	1.283417506
149	1.272531103
150	1.266251464
151	1.254512096
152	1.244025524
153	1.234226431
154	1.223114931
155	1.214862197
156	1.205494312
157	1.196650653
158	1.188746165
159	1.178395799
160	1.167547283
161	1.159793048
162	1.149136696
163	1.138765293
164	1.130836402
165	1.122891866
166	1.115025741
167	1.106696292
168	1.098003541
169	1.087780419
170	1.080744991
171	1.071012768
172	1.06234283
173	1.054122819
174	1.046822231
175	1.040648584
176	1.033089088
177	1.026409886
178	1.019353771
179	1.009586139
180	1.002794281
181	0.9962540258
182	0.9899412617
183	0.9834689541
184	0.9768520774
185	0.9682671648
186	0.9606443388
187	0.9542338246
188	0.9480557193
189	0.9413644898
190	0.9349150967
191	0.9260453108
192	0.9191025149
193	0.9129179524
194	0.9070472338
195	0.9006267264
196	0.895008094
197	0.8892167417
198	0.8830474867
199	0.8766561608
200	0.8710586192
201	0.8657156281
202	0.8606621869
203	0.8534590515
204	0.8476240463
205	0.8415131586
206	0.8356131569
207	0.8299826951
208	0.8239898826
209	0.8177062352
210	0.8130401162
211	0.807861061
212	0.8027508228
213	0.7978395797
214	0.7921980308
215	0.7874472951
216	0.7821484163
217	0.7770739845
218	0.7719713249
219	0.7668169266
220	0.761331932
221	0.7572954695
222	0.7521515751
223	0.7471667616
224	0.7432187735
225	0.7380056333
226	0.7339693048
227	0.7281303228
228	0.7233154369
229	0.7181022936
230	0.7135256767
231	0.7093099962
232	0.7046568242
233	0.6999851641
234	0.6960464622
235	0.6915093039
236	0.6871052855
237	0.6828264734
238	0.6785554695
239	0.6741379745
240	0.6705530468
241	0.6659094967
242	0.6616598007
243	0.6572738783
244	0.6528961767
245	0.6493150073
246	0.6450503785
247	0.640976826
248	0.6365892206
249	0.6328071885
250	0.62862505
251	0.6247964165
252	0.6215761445
253	0.6179158471
254	0.6142008916
255	0.6103816481
256	0.6067694581
257	0.6027020981
258	0.599126525
259	0.5949598543
260	0.5913172162
261	0.5878491078
262	0.5842067998
263	0.5805662272
264	0.5770729298
265	0.5730464622
266	0.5698733072
267	0.5664470494
268	0.563160096
269	0.5599744645
270	0.556452621
271	0.5532675387
272	0.5498389037
273	0.5466361546
274	0.5433921557
275	0.5403689285
276	0.536965999
277	0.5336855824
