iter	Passed	Remaining
0	2	2902
1	4	2139
2	5	1888
3	7	1805
4	8	1772
5	10	1754
6	12	1746
7	14	1775
8	16	1788
9	17	1781
10	19	1755
11	21	1740
12	22	1740
13	24	1720
14	25	1696
15	27	1699
16	29	1699
17	31	1694
18	32	1683
19	34	1697
20	36	1708
21	38	1715
22	40	1700
23	41	1703
24	43	1705
25	45	1711
26	47	1717
27	49	1715
28	51	1711
29	53	1714
30	54	1701
31	55	1692
32	57	1687
33	59	1683
34	61	1684
35	63	1687
36	64	1689
37	66	1687
38	68	1679
39	69	1677
40	71	1680
41	73	1677
42	75	1674
43	76	1667
44	78	1665
45	80	1665
46	82	1668
47	83	1664
48	85	1668
49	87	1665
50	89	1662
51	91	1662
52	92	1658
53	94	1660
54	96	1656
55	98	1658
56	100	1654
57	101	1651
58	103	1647
59	105	1645
60	106	1644
61	108	1638
62	109	1635
63	111	1637
64	113	1636
65	115	1633
66	116	1628
67	118	1624
68	120	1622
69	121	1620
70	123	1618
71	125	1613
72	126	1610
73	128	1607
74	129	1601
75	131	1601
76	133	1599
77	135	1597
78	136	1593
79	138	1590
80	139	1584
81	141	1585
82	143	1583
83	145	1582
84	146	1579
85	148	1579
86	150	1578
87	152	1578
88	154	1579
89	155	1575
90	157	1572
91	159	1571
92	161	1570
93	162	1568
94	164	1568
95	166	1564
96	168	1564
97	170	1567
98	172	1565
99	173	1565
100	175	1566
101	178	1568
102	179	1566
103	181	1564
104	182	1559
105	184	1556
106	185	1550
107	187	1546
108	188	1542
109	190	1538
110	192	1538
111	193	1534
112	195	1531
113	196	1527
114	198	1524
115	199	1520
116	201	1521
117	203	1518
118	204	1515
119	206	1516
120	208	1516
121	210	1512
122	211	1507
123	212	1502
124	214	1499
125	215	1495
126	217	1491
127	218	1487
128	220	1485
129	221	1484
130	223	1480
131	224	1477
132	226	1474
133	227	1471
134	229	1471
135	231	1470
136	233	1468
137	234	1466
138	236	1463
139	237	1460
140	238	1455
141	240	1455
142	243	1457
143	244	1455
144	246	1452
145	247	1450
146	249	1448
147	251	1445
148	252	1442
149	253	1438
150	255	1436
151	256	1433
152	258	1429
153	259	1427
154	261	1425
155	262	1422
156	264	1420
157	265	1416
158	267	1414
159	268	1411
160	270	1408
161	272	1407
162	273	1405
163	275	1402
164	276	1399
165	278	1397
166	279	1393
167	280	1390
168	282	1387
169	283	1384
170	284	1381
171	286	1378
172	287	1375
173	289	1371
174	290	1369
175	292	1367
176	293	1364
177	294	1361
178	296	1359
179	297	1356
180	299	1353
181	300	1351
182	302	1348
183	303	1345
184	304	1342
185	306	1339
186	307	1337
187	308	1334
188	310	1332
189	311	1329
190	313	1326
191	314	1323
192	315	1321
193	317	1318
194	318	1315
195	320	1312
196	321	1311
197	323	1309
198	324	1307
199	326	1304
200	327	1303
201	329	1301
202	330	1298
203	332	1296
204	333	1294
205	335	1291
206	336	1290
207	338	1288
208	339	1286
209	341	1284
210	343	1282
211	344	1280
212	345	1277
213	347	1275
214	349	1274
215	350	1272
216	351	1269
217	353	1267
218	354	1265
219	356	1263
220	357	1261
221	359	1259
222	360	1257
223	362	1255
224	363	1253
225	365	1251
226	366	1249
227	368	1247
228	369	1245
229	371	1243
230	373	1241
231	374	1239
232	376	1237
233	377	1235
234	378	1233
235	380	1231
236	381	1228
237	383	1228
238	385	1227
239	387	1225
240	388	1224
241	390	1223
242	392	1222
243	393	1219
244	395	1217
245	396	1214
246	397	1212
247	399	1211
248	401	1210
249	403	1209
250	404	1207
251	406	1205
252	407	1203
253	408	1201
254	410	1199
255	411	1197
256	413	1195
257	414	1193
258	416	1190
259	417	1188
260	419	1186
261	420	1184
262	422	1183
263	423	1181
264	424	1178
265	426	1176
266	427	1174
267	429	1172
268	430	1170
269	432	1168
270	433	1167
271	435	1166
272	437	1164
273	438	1161
274	440	1160
275	441	1158
276	443	1156
277	444	1154
278	445	1152
279	447	1150
280	448	1147
281	450	1146
282	451	1144
283	452	1142
284	454	1139
285	455	1137
286	457	1135
287	458	1133
288	460	1131
289	461	1129
290	462	1127
291	464	1125
292	465	1123
293	467	1121
294	468	1119
295	469	1117
296	471	1115
297	472	1113
298	474	1112
299	476	1112
300	478	1110
301	479	1108
302	480	1106
303	482	1104
304	484	1103
305	485	1101
306	487	1099
307	488	1097
308	490	1095
309	491	1094
310	493	1092
311	494	1090
312	495	1088
313	497	1086
314	498	1085
315	500	1083
316	501	1080
317	502	1078
318	504	1076
319	505	1075
320	507	1073
321	509	1072
322	510	1070
323	512	1068
324	513	1066
325	515	1065
326	516	1063
327	518	1061
328	519	1059
329	520	1057
330	522	1055
331	524	1054
332	526	1053
333	527	1052
334	529	1050
335	531	1049
336	532	1048
337	534	1046
338	535	1044
339	537	1042
340	538	1041
341	540	1039
342	541	1037
343	543	1036
344	545	1034
345	546	1033
346	548	1031
347	549	1029
348	551	1028
349	552	1025
350	554	1024
351	555	1022
352	556	1020
353	558	1018
354	559	1017
355	561	1015
356	562	1013
357	564	1011
